10cm, 474.7
10cm, 555.53
10cm, 513.16
11cm, 590.93
11cm, 663.45
11cm, 685.45
11cm, 654.5
12cm, 601.21
12cm, 625.77
12cm, 607.51
13cm, 644.38
13cm, 680.82
13cm, 660.99
13cm, 680.96
13cm, 816.05
17cm, 1175.56
17cm, 689.96
17cm, 955.72
18cm, 988.63
18cm, 1241.39
18cm, 1511.93
18cm, 1229.72
19cm, 1033.95
19cm, 1327.95
19cm, 929.06
19cm, 2004.96
19cm, 2094.36
22cm, 1285.52
22cm, 980.84
22cm, 939.06
22cm, 1042.74
22cm, 989.61
22cm, 935.02
4cm, 422.47
4cm, 432.33
5cm, 458.91
5cm, 461.46
7cm, 451.43
7cm, 462.25
8cm, 580.47
8cm, 573.34
9cm, 528.83
9cm, 617.87
